[Algorithm Log] 2023-12-05 15:35:13.767 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 15:35:13.789 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:26:02.033 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:26:04.043 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:30:01.724 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:30:01.728 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:30:36.041 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:30:36.046 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:39:46.573 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:39:46.577 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:42:46.998 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:42:47.001 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-05 16:43:23.998 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
