[Algorithm Log] 2023-12-04 17:01:20.327 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:01:20.331 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:01:24.576 INFO algorithm.py:196: {'data': 'fuck', 'data2': 'fuck2', 'sleep': 20}
[Algorithm Log] 2023-12-04 17:01:52.035 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:01:52.040 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:01:54.922 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:01:54.924 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:02:34.354 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:02:34.357 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:02:36.981 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
[Algorithm Log] 2023-12-04 17:02:36.983 INFO algorithm.py:36: init parameters: {'a': 1, 'b': 1, 'sleep': 0, 'businessCode': '085cdfa6f9ed2000', 'smooth_order': '三阶', 'application': 'Exponential Smoothing', 'seasonal_periods': 4, 'params_setting_mode': '自动调优'}
