Code,Factor1,Factor2,Cluster,Name
18520,5.971991,7.886453,6,淺沼組
96030,8.793006,4.128965,14,エイチ・アイ・エス
36260,7.589392,8.755741,11,ＴＩＳ
25790,8.006667,6.9747887,18,コカ・コーラボトラーズジャパンホールディングス
53340,3.7904928,9.073268,0,日本特殊陶業
85220,2.2787995,5.7242594,15,名古屋銀行
35910,6.2065783,5.6568084,16,ワコールホールディングス
53020,2.9963925,8.860244,13,日本カーボン
60880,7.9343915,5.9729633,9,シグマクシス・ホールディングス
88030,4.2767897,6.6044955,3,平和不動産
45680,6.3296475,8.616309,5,第一三共
39320,6.445419,7.055881,8,アカツキ
67500,7.4427385,6.2404833,9,エレコム
68410,5.264145,9.283146,2,横河電機
38360,7.475409,7.981168,11,アバントグループ
32890,3.8271234,6.407215,3,東急不動産ホールディングス
64070,5.299151,10.320505,10,ＣＫＤ
69510,5.900554,9.77849,10,日本電子
72420,3.9461648,8.70754,13,ＫＹＢ
46610,9.143216,3.6543908,14,オリエンタルランド
83030,4.259634,7.7093163,1,新生銀行
99740,6.8767543,6.233847,9,ベルク
72780,3.8659947,9.535767,0,エクセディ
18850,5.976483,7.7469616,6,東亜建設工業
69230,3.8510787,9.464637,0,スタンレー電気
79840,6.001209,5.9594684,16,コクヨ
74510,7.1704354,6.063808,9,三菱食品
31010,4.0155525,8.352182,13,東洋紡
99890,8.535418,6.588872,18,サンドラッグ
96720,6.534757,7.7015195,8,東京都競馬
87710,7.047771,5.9994173,9,イー・ギャランティ
77290,5.818974,10.693577,10,東京精密
64630,3.971585,9.335342,0,ＴＰＲ
63150,5.7658463,10.5447645,10,ＴＯＷＡ
87950,4.5522785,7.700579,1,Ｔ＆Ｄホールディングス
49670,8.294098,7.438427,18,小林製薬
77470,8.160116,7.129972,18,朝日インテック
32310,3.890808,6.451768,3,野村不動産ホールディングス
62730,5.386872,10.271738,10,ＳＭＣ
67280,5.7163534,10.690218,10,アルバック
88180,6.7797294,6.1546936,9,京阪神ビルディング
40450,5.091047,6.157398,19,東亞合成
