Code,Factor1,Factor2,Cluster,Name
18520,-1.2479358,-5.7769523,3,淺沼組
96030,-1.9887788,-8.371996,10,エイチ・アイ・エス
85220,-0.05780304,-3.45292,19,名古屋銀行
53020,-4.015127,-5.365725,15,日本カーボン
60880,-2.8853056,-7.8787313,10,シグマクシス・ホールディングス
88030,-1.1176598,-7.3072457,5,平和不動産
39320,-3.2641068,-7.3008456,14,アカツキ
67500,-1.4816386,-6.882223,0,エレコム
38360,-3.9275377,-7.396873,8,アバントグループ
64070,-3.6368344,-3.3715904,9,ＣＫＤ
72420,-2.3937063,-2.8928092,17,ＫＹＢ
99740,-1.0098865,-5.9038687,3,ベルク
72780,-2.3074121,-2.7561007,17,エクセディ
18850,-3.3021114,-5.6616683,15,東亜建設工業
74510,-1.3076018,-5.870997,3,三菱食品
96720,-4.193907,-6.1899915,8,東京都競馬
87710,-1.168821,-6.9318876,0,イー・ギャランティ
77290,-4.041727,-3.7913187,9,東京精密
64630,-2.352932,-2.7531366,17,ＴＰＲ
63150,-3.889187,-3.7294598,9,ＴＯＷＡ
88180,-3.8071527,-5.6059995,15,京阪神ビルディング
82780,-0.8424943,-6.447458,0,フジ
55410,-1.5478976,-3.5418804,12,大平洋金属
47760,-4.018578,-6.9066653,8,サイボウズ
61040,-3.4590392,-3.2518704,17,芝浦機械
99450,-1.7272681,-7.875907,5,プレナス
79430,-2.7395601,-4.914282,13,ニチハ
98820,-2.926223,-4.934081,13,イエローハット
26810,-2.6038485,-7.1327553,4,ゲオホールディングス
64980,-1.0086131,-5.739289,3,キッツ
27600,-3.9596639,-5.483484,15,東京エレクトロンデバイス
69620,-4.029854,-4.5331693,9,大真空
48120,-3.915344,-6.582908,8,電通国際情報サービス
72240,-1.1725188,-5.6514106,3,新明和工業
34330,-3.7694404,-3.9632916,9,トーカロ
41890,-2.5351343,-4.24666,13,ＫＨネオケム
23840,-3.676145,-6.043452,15,ＳＢＳホールディングス
85660,-1.4564068,-4.1085377,12,リコーリース
78170,-1.0195831,-6.2348313,0,パラマウントベッドホールディングス
55630,-2.2925262,-3.418987,1,新日本電工
21680,-3.9302957,-5.9294868,15,パソナグループ
69290,-3.464645,-4.6547976,13,日本セラミック
36600,-2.5924222,-8.223296,10,アイスタイル
99970,-3.0561328,-5.0491705,13,ベルーナ
26850,-1.2988299,-7.7448235,5,アダストリア
69960,-3.08309,-3.3447635,17,ニチコン
51920,-2.062278,-4.5631466,7,三ツ星ベルト
36730,-2.3038335,-7.2599106,4,ブロードリーフ
18900,-1.9698749,-4.845961,7,東洋建設
40470,-3.217458,-4.6356087,13,関東電化工業
70030,-2.0402262,-2.7940404,17,三井Ｅ＆Ｓホールディングス
89340,-0.99171865,-4.5006876,6,サンフロンティア不動産
19540,-1.0194564,-5.2707725,3,日本工営
74210,-1.6209872,-7.752004,5,カッパ・クリエイト
69470,-1.0286869,-6.398074,0,図研
63760,-2.8060555,-3.956755,13,日機装
35430,-2.6584496,-8.071969,10,コメダホールディングス
48490,-2.57125,-7.851487,10,エン・ジャパン
27330,-1.2969732,-5.9899745,0,あらた
67440,-1.6944071,-5.277162,7,能美防災
14190,-1.8820585,-7.3631525,5,タマホーム
80780,-1.8489429,-3.4668646,1,阪和興業
94700,-1.4892282,-7.3684835,5,学研ホールディングス
64090,-2.9333825,-3.2254307,17,キトー
36810,-3.7851937,-6.4482584,8,ブイキューブ
30850,-1.7377956,-7.9862833,5,アークランドサービスホールディングス
59880,-2.288398,-3.1384892,17,パイオラックス
60990,-3.6419413,-6.4772635,8,エラン
35930,-3.910393,-5.9264374,15,ホギメディカル
77170,-3.9262898,-4.2750134,9,ブイ・テクノロジー
23170,-3.7964585,-6.6231556,8,システナ
47140,-3.9066393,-6.375851,8,リソー教育
18220,-1.4884907,-5.044988,6,大豊建設
68040,-2.7913072,-3.9675562,13,ホシデン
80510,-1.324268,-4.4991,6,山善
37380,-1.0679028,-6.5650578,0,ティーガイア
86980,-3.6157718,-5.6486435,15,マネックスグループ
17190,-1.7491132,-4.763475,7,安藤・間
36680,-3.9828222,-5.791435,15,コロプラ
88500,-2.3240943,-5.0077677,7,スターツコーポレーション
94180,-1.3925636,-6.075015,0,ＵＳＥＮ−ＮＥＸＴＨＯＬＤＩＮＧＳ
32540,-1.4669942,-6.5129924,0,プレサンスコーポレーション
26780,-3.7941642,-6.62642,8,アスクル
40950,-1.2675819,-5.1159577,6,日本パーカライジング
86090,-0.31692913,-4.204758,19,岡三証券グループ
99340,-3.0755303,-4.517285,13,因幡電機産業
64900,-3.579359,-5.1962676,15,日本ピラー工業
43480,-3.9881217,-7.2081127,8,インフォコム
70040,-1.4535468,-4.35384,12,日立造船
79700,-1.3741478,-5.095149,6,信越ポリマー
71480,-1.2343482,-3.92679,12,ＦＰＧ
95110,-1.1841819,-6.4174714,0,沖縄電力
46340,-2.2882335,-3.7276406,1,東洋インキＳＣホールディングス
59750,-2.1838284,-2.827883,17,東プレ
78390,-2.424616,-5.3103204,11,ＳＨＯＥＩ
25940,-1.732944,-6.677905,4,キーコーヒー
68000,-4.134367,-4.768982,9,ヨコオ
91190,-0.833472,-4.6675944,6,飯野海運
26590,-1.4232472,-6.5174303,0,サンエー
62890,-2.7313204,-7.10422,14,技研製作所
19260,-1.8105739,-4.955738,7,ライト工業
96820,-3.800608,-7.2386923,8,ＤＴＳ
61430,-3.3841352,-3.1342902,17,ソディック
98690,-2.6750975,-5.4691978,11,加藤産業
90580,-3.6549478,-5.5315557,15,トランコム
26640,-1.6159724,-6.2168617,0,カワチ薬品
35390,-3.654126,-5.750477,15,ＪＭホールディングス
40820,-3.1052713,-4.8596535,13,第一稀元素化学工業
88480,-2.4293804,-7.8877163,10,レオパレス２１
31860,-2.762007,-7.919906,10,ネクステージ
76110,-1.6643898,-8.15213,5,ハイデイ日高
20010,-1.6283859,-5.910355,16,ニップン
64130,-1.6725366,-4.399641,12,理想科学工業
39620,-3.958195,-5.8787045,15,チェンジ
96630,-3.0199919,-6.03595,2,ナガワ
85850,-0.6376687,-5.3757195,3,オリエントコーポレーション
83880,-0.14846796,-3.3652053,19,阿波銀行
30460,-1.1755896,-7.5700874,5,ジンズホールディングス
42900,-3.1963494,-5.9287825,15,プレステージ・インターナショナル
26950,-1.5978531,-7.7645864,5,くら寿司
82000,-1.4674621,-8.005068,5,リンガーハット
97460,-3.561307,-5.872801,15,ＴＫＣ
30500,-3.566102,-6.853642,8,ＤＣＭホールディングス
80200,-2.5373516,-4.5619354,13,兼松
33970,-1.5596954,-7.8657136,5,トリドールホールディングス
76130,-2.959821,-3.319591,17,シークス
40440,-2.0852294,-4.5034714,7,セントラル硝子
60550,-4.0360475,-4.146796,9,ジャパンマテリアル
81600,-1.9910043,-7.714413,5,木曽路
81540,-2.6697693,-4.390533,13,加賀電子
27260,-1.9806707,-7.547488,5,パルグループホールディングス
18840,-2.6434176,-5.154807,11,日本道路
67870,-3.8224893,-3.6410813,9,メイコー
38440,-3.827056,-7.144492,8,コムチュア
63710,-2.6550102,-3.273783,17,椿本チエイン
31820,-4.0099497,-6.4604173,8,オイシックス・ラ・大地
96780,-1.2684907,-7.1519265,5,カナモト
29080,-1.9130647,-6.299387,18,フジッコ
54800,-1.7708786,-3.4558673,1,日本冶金工業
75080,-2.1068916,-6.79009,4,Ｇ−７ホールディングス
68100,-2.2611227,-5.5242023,11,マクセル
88920,-3.7241125,-6.31684,8,日本エスコン
27300,-1.7952714,-6.755689,4,エディオン
45470,-2.2427766,-5.87981,18,キッセイ薬品工業
18330,-1.739706,-4.955186,7,奥村組
97150,-3.755645,-6.2806044,8,トランス・コスモス
83810,-0.17873846,-3.2942019,19,山陰合同銀行
39780,-1.5392736,-3.8390207,12,マクロミル
99280,-3.2429328,-6.5144315,2,ミロク情報サービス
75810,-1.5880927,-8.009109,5,サイゼリヤ
78670,-1.3270693,-6.2036977,0,タカラトミー
84240,-1.1558875,-3.9635043,12,芙蓉総合リース
26020,-1.7894443,-6.3059397,18,日清オイリオグループ
75990,-2.6364179,-7.741789,10,ＩＤＯＭ
59430,-1.5906676,-4.8784385,6,ノーリツ
62220,-2.220973,-4.5575814,7,島精機製作所
64800,-2.822179,-3.0379803,17,日本トムソン
71050,-2.0042233,-3.8834853,1,三菱ロジスネクスト
19790,-2.037295,-5.2748575,7,大氣社
72460,-2.230595,-2.905518,17,プレス工業
30020,-2.2107666,-5.8599997,18,グンゼ
81550,-4.180052,-3.9578035,9,三益半導体工業
23370,-0.9347665,-5.7834454,3,いちご
54230,-3.185659,-6.543982,2,東京製鐵
76060,-2.1902428,-8.303921,10,ユナイテッドアローズ
61970,-3.362988,-6.643921,8,ソラスト
79950,-2.8786016,-4.565178,13,バルカー
40230,-2.1714754,-4.5232944,7,クレハ
98300,-2.2595456,-6.8894887,4,トラスコ中山
38650,-1.3398478,-5.2819004,6,北越コーポレーション
69610,-1.6262307,-4.127894,12,エンプラス
85840,-0.8794967,-5.0023685,6,ジャックス
76300,-1.8821701,-8.025259,5,壱番屋
98100,-1.8277246,-3.4637356,1,日鉄物産
61350,-3.1360412,-2.9621158,17,牧野フライス製作所
99560,-1.463667,-6.411273,0,バローホールディングス
52080,-3.0473893,-4.239053,13,有沢製作所
80080,-1.8121792,-6.2833896,18,ヨンドシーホールディングス
36320,-3.0907934,-6.915323,14,グリー
66300,-3.2312555,-5.9657264,15,ヤーマン
87150,-3.431027,-6.130841,15,アニコムホールディングス
66160,-3.7588453,-4.888268,15,トレックス・セミコンダクター
86160,-0.37133995,-4.106916,19,東海東京フィナンシャル・ホールディングス
18610,-1.6629884,-4.6850896,7,熊谷組
85240,0.019210873,-3.5022106,19,北洋銀行
53310,-2.977067,-4.5748606,13,ノリタケカンパニーリミテド
71890,-0.14387365,-3.393608,19,西日本フィナンシャルホールディングス
40460,-2.6369765,-4.7744875,13,大阪ソーダ
39020,-3.9353867,-6.8115516,8,メディカル・データ・ビジョン
13790,-2.9248912,-5.4563055,11,ホクト
49280,-2.0597026,-6.601337,4,ノエビアホールディングス
83680,-0.01082813,-3.5397367,19,百五銀行
31670,-3.5931675,-6.3745146,8,ＴＯＫＡＩホールディングス
43680,-1.9971851,-5.9374003,16,扶桑化学工業
97400,-2.2615528,-7.454971,10,セントラル警備保障
47080,-2.9538345,-7.4900475,14,りらいあコミュニケーションズ
62840,-3.13673,-4.8201942,13,日精エー・エス・ビー機械
61960,-3.752406,-7.214214,8,ストライク
82760,-1.4567622,-6.52825,0,平和堂
62690,-2.0592072,-3.0374458,1,三井海洋開発
40280,-2.3610578,-3.5897045,1,石原産業
65880,-2.5489504,-6.445756,2,東芝テック
61010,-3.1932528,-2.9824328,17,ツガミ
29100,-1.7117788,-7.16879,4,ロック・フィールド
79650,-1.7076949,-5.7432585,16,象印マホービン
90690,-3.4668362,-6.1302376,15,センコーグループホールディングス
71730,-0.13299245,-3.4431906,19,東京きらぼしフィナンシャルグループ
77400,-2.4640026,-4.3361826,13,タムロン
59300,-1.6750163,-5.2491803,7,文化シヤッター
99000,-1.6348938,-7.77196,5,サガミホールディングス
