Code,IndexSector
13010,TOPIX Small 2
13320,TOPIX Mid400
13330,TOPIX Mid400
13750,TOPIX Small 2
13770,TOPIX Small 1
13790,TOPIX Small 1
14140,TOPIX Mid400
14170,TOPIX Mid400
14190,TOPIX Small 1
14290,TOPIX Small 2
14300,TOPIX Small 2
14330,TOPIX Small 2
14350,TOPIX Small 2
15150,TOPIX Small 1
15180,TOPIX Small 1
16050,TOPIX Mid400
16620,TOPIX Small 1
16630,TOPIX Small 2
17120,TOPIX Small 2
17160,TOPIX Small 2
17190,TOPIX Small 1
17200,TOPIX Small 1
17210,TOPIX Mid400
17260,TOPIX Small 2
17620,TOPIX Small 1
17660,TOPIX Small 1
17800,TOPIX Small 2
17860,TOPIX Small 1
18010,TOPIX Mid400
18020,TOPIX Mid400
18030,TOPIX Mid400
18050,TOPIX Small 2
18080,TOPIX Mid400
18100,TOPIX Small 2
18120,TOPIX Mid400
18130,TOPIX Small 2
18140,TOPIX Small 2
18150,TOPIX Small 2
18200,TOPIX Mid400
18210,TOPIX Small 1
18220,TOPIX Small 1
18330,TOPIX Small 1
18350,TOPIX Small 1
18470,TOPIX Small 2
18520,TOPIX Small 1
18600,TOPIX Mid400
18610,TOPIX Small 1
18700,TOPIX Small 2
18710,TOPIX Small 2
18730,TOPIX Small 2
18780,TOPIX Mid400
18790,TOPIX Small 2
18820,TOPIX Small 2
18840,TOPIX Small 1
18850,TOPIX Small 1
18870,TOPIX Small 2
18880,TOPIX Small 2
18900,TOPIX Small 1
18930,TOPIX Mid400
18980,TOPIX Small 2
18990,TOPIX Small 2
19110,TOPIX Mid400
19250,TOPIX Large70
19260,TOPIX Small 1
19280,TOPIX Large70
19290,TOPIX Small 2
19300,TOPIX Small 2
19340,TOPIX Small 2
19380,TOPIX Small 2
19390,TOPIX Small 2
19410,TOPIX Small 1
19420,TOPIX Small 1
19440,TOPIX Mid400
19450,TOPIX Small 2
19460,TOPIX Small 2
19490,TOPIX Small 2
19500,TOPIX Small 2
19510,TOPIX Mid400
19520,TOPIX Small 2
19540,TOPIX Small 1
19590,TOPIX Mid400
19610,TOPIX Small 1
19630,TOPIX Mid400
19640,TOPIX Small 2
19680,TOPIX Small 2
19690,TOPIX Small 1
19730,TOPIX Small 1
19750,TOPIX Small 2
19760,TOPIX Small 2
19790,TOPIX Small 1
19800,TOPIX Small 2
19820,TOPIX Small 2
20010,TOPIX Small 1
20020,TOPIX Mid400
20040,TOPIX Small 1
20530,TOPIX Small 2
20600,TOPIX Small 2
21080,TOPIX Small 2
21090,TOPIX Small 2
21170,TOPIX Small 2
21200,TOPIX Small 2
21210,TOPIX Small 1
21240,TOPIX Small 1
21270,TOPIX Mid400
21300,TOPIX Small 2
21460,TOPIX Small 1
21480,TOPIX Small 2
21530,TOPIX Small 2
21540,TOPIX Small 1
21570,TOPIX Small 1
21630,TOPIX Small 2
21680,TOPIX Small 1
21700,TOPIX Small 1
21750,TOPIX Mid400
21800,TOPIX Small 2
21810,TOPIX Mid400
21830,TOPIX Small 2
21960,TOPIX Small 2
21980,TOPIX Small 2
22010,TOPIX Mid400
22040,TOPIX Small 2
22060,TOPIX Mid400
22070,TOPIX Small 2
22090,TOPIX Small 2
22110,TOPIX Small 2
22120,TOPIX Mid400
22170,TOPIX Small 2
22200,TOPIX Small 1
22220,TOPIX Small 1
22290,TOPIX Mid400
22640,TOPIX Mid400
22660,TOPIX Small 2
22670,TOPIX Mid400
22690,TOPIX Mid400
22700,TOPIX Small 1
22810,TOPIX Small 1
22820,TOPIX Mid400
22880,TOPIX Small 2
22920,TOPIX Small 1
22940,TOPIX Small 2
22960,TOPIX Small 1
23010,TOPIX Small 2
23050,TOPIX Small 2
23070,TOPIX Small 2
23090,TOPIX Small 2
23110,TOPIX Small 2
23170,TOPIX Small 1
23250,TOPIX Small 2
23260,TOPIX Small 1
23270,TOPIX Small 1
23310,TOPIX Mid400
23350,TOPIX Small 2
23370,TOPIX Small 1
23530,TOPIX Small 1
23590,TOPIX Small 2
23710,TOPIX Mid400
23720,TOPIX Small 2
23740,TOPIX Small 2
23780,TOPIX Small 2
23790,TOPIX Small 1
23840,TOPIX Small 1
23890,TOPIX Small 2
23950,TOPIX Small 1
24100,TOPIX Small 2
24120,TOPIX Mid400
24130,TOPIX Large70
24180,TOPIX Small 2
24240,TOPIX Small 2
24270,TOPIX Mid400
24280,TOPIX Small 2
24290,TOPIX Small 2
24320,TOPIX Mid400
24330,TOPIX Mid400
24400,TOPIX Small 2
24450,TOPIX Small 2
24530,TOPIX Small 2
24610,TOPIX Small 2
24620,TOPIX Small 2
24640,TOPIX Small 2
24710,TOPIX Small 1
24750,TOPIX Small 2
24770,TOPIX Small 2
24890,TOPIX Small 2
24910,TOPIX Small 1
24920,TOPIX Small 1
25010,TOPIX Mid400
25020,TOPIX Large70
25030,TOPIX Large70
25310,TOPIX Mid400
25330,TOPIX Small 2
25400,TOPIX Small 2
25790,TOPIX Mid400
25870,TOPIX Mid400
25900,TOPIX Small 1
25930,TOPIX Mid400
25940,TOPIX Small 1
26020,TOPIX Small 1
26070,TOPIX Mid400
26130,TOPIX Small 2
26510,TOPIX Mid400
26590,TOPIX Small 1
26640,TOPIX Small 1
26700,TOPIX Mid400
26740,TOPIX Small 2
26760,TOPIX Small 2
26780,TOPIX Small 1
26810,TOPIX Small 1
26850,TOPIX Small 1
26920,TOPIX Small 2
26950,TOPIX Small 1
27150,TOPIX Small 2
27220,TOPIX Small 2
27260,TOPIX Small 1
27300,TOPIX Small 1
27330,TOPIX Small 1
27340,TOPIX Small 2
27350,TOPIX Small 2
27370,TOPIX Small 2
27420,TOPIX Small 2
27490,TOPIX Small 2
27520,TOPIX Small 2
27530,TOPIX Small 2
27600,TOPIX Small 1
27640,TOPIX Small 2
27670,TOPIX Small 2
27680,TOPIX Mid400
27840,TOPIX Mid400
27910,TOPIX Small 1
27920,TOPIX Small 2
27960,TOPIX Small 2
28010,TOPIX Mid400
28020,TOPIX Large70
28040,TOPIX Small 2
28090,TOPIX Mid400
28100,TOPIX Mid400
28110,TOPIX Mid400
28150,TOPIX Mid400
28180,TOPIX Small 2
28200,TOPIX Small 2
28710,TOPIX Mid400
28740,TOPIX Small 2
28750,TOPIX Mid400
28820,TOPIX Small 2
28840,TOPIX Small 2
28970,TOPIX Mid400
28990,TOPIX Small 2
29040,TOPIX Small 2
29080,TOPIX Small 1
29100,TOPIX Small 1
29140,TOPIX Large70
29150,TOPIX Small 2
29180,TOPIX Small 1
29220,TOPIX Small 2
29290,TOPIX Small 1
29300,TOPIX Small 2
29310,TOPIX Small 1
29330,TOPIX Small 2
29350,TOPIX Small 2
29750,TOPIX Small 2
29800,TOPIX Small 2
29820,TOPIX Small 2
30020,TOPIX Small 1
30030,TOPIX Mid400
30280,TOPIX Small 1
30300,TOPIX Small 2
30310,TOPIX Small 1
30340,TOPIX Small 1
30360,TOPIX Small 1
30380,TOPIX Mid400
30400,TOPIX Small 2
30460,TOPIX Small 1
30480,TOPIX Small 1
30500,TOPIX Small 1
30530,TOPIX Small 2
30540,TOPIX Small 2
30640,TOPIX Mid400
30670,TOPIX Small 2
30730,TOPIX Small 2
30760,TOPIX Small 1
30850,TOPIX Small 1
30860,TOPIX Mid400
30870,TOPIX Small 1
30880,TOPIX Mid400
30910,TOPIX Small 2
30920,TOPIX Mid400
30930,TOPIX Small 2
30970,TOPIX Small 1
30990,TOPIX Mid400
31010,TOPIX Mid400
31030,TOPIX Small 2
31040,TOPIX Small 2
31050,TOPIX Mid400
31060,TOPIX Small 2
31070,TOPIX Mid400
31090,TOPIX Small 2
31100,TOPIX Small 1
31160,TOPIX Mid400
31320,TOPIX Small 1
31340,TOPIX Small 2
31350,TOPIX Small 2
31390,TOPIX Small 2
31410,TOPIX Mid400
31480,TOPIX Small 1
31500,TOPIX Small 2
31510,TOPIX Small 2
31530,TOPIX Small 2
31540,TOPIX Small 2
31560,TOPIX Small 2
31660,TOPIX Small 2
31670,TOPIX Small 1
31730,TOPIX Small 2
31760,TOPIX Small 2
31790,TOPIX Small 2
31800,TOPIX Small 2
